run,kind,text,prompt_index,image_index,seed,distance_to_base,distance_to_vanilla,image_path,base_image_path,vanilla_image_path
vanilla,subject,a photo of sks backpack on a wooden table,0,0,0,50.611430,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png
vanilla,subject,a photo of sks backpack on a wooden table,0,1,1,46.440323,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png
vanilla,subject,a photo of sks backpack in a room,1,0,100,32.874744,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-backpack-in-a-room.png
vanilla,subject,a photo of sks backpack in a room,1,1,101,45.128359,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-backpack-in-a-room.png
vanilla,class,a photo of a backpack,2,0,200,57.523553,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_00_seed200_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_02_00_seed200_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_00_seed200_a-photo-of-a-backpack.png
vanilla,class,a photo of a backpack,2,1,201,35.333307,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_01_seed201_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_02_01_seed201_a-photo-of-a-backpack.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_02_01_seed201_a-photo-of-a-backpack.png
vanilla,class,a backpack on a wooden table,3,0,300,54.837104,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_00_seed300_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_03_00_seed300_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_00_seed300_a-backpack-on-a-wooden-table.png
vanilla,class,a backpack on a wooden table,3,1,301,57.130330,0.000000,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_01_seed301_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/class_03_01_seed301_a-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/class_03_01_seed301_a-backpack-on-a-wooden-table.png
cfg_gate_alpha05,subject,a photo of sks backpack on a wooden table,0,0,0,47.072155,24.416213,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-backpack-on-a-wooden-table.png
cfg_gate_alpha05,subject,a photo of sks backpack on a wooden table,0,1,1,45.388505,21.064899,experiments/stage2c1_cfg_residual_gate/backpack/eval/cfg_gate_alpha05/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/base/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png,experiments/stage2c1_cfg_residual_gate/backpack/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-backpack-on-a-wooden-table.png
