subject_id,image_id,image_path,source_group,reference_regime,hardness_axis,source_standard_image,variant_id,transform_parameters,class_name,class_prompt,class_context_prompt,conditioning_key,conditioning_prompt,source_dataset,source_license_note
dog,dog_clean_object_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_clean_object_00/seed_0000.png,base_generated_control,prompt_matched_generated,clean_object,,,{},dog,a photo of a dog,a photo of a dog standing outdoors on pavement,prompt_matched,a photo of a dog standing outdoors on pavement,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog_clean_object_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_clean_object_00/seed_0001.png,base_generated_control,prompt_matched_generated,clean_object,,,{},dog,a photo of a dog,a photo of a dog standing outdoors on pavement,prompt_matched,a photo of a dog standing outdoors on pavement,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog_matched_closeup_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_matched_closeup_00/seed_0000.png,base_generated_control,prompt_matched_generated,matched_closeup,,,{},dog,a photo of a dog,a close-up photo of a dog near a bowl,prompt_matched,a close-up photo of a dog near a bowl,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog_matched_closeup_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_matched_closeup_00/seed_0001.png,base_generated_control,prompt_matched_generated,matched_closeup,,,{},dog,a photo of a dog,a close-up photo of a dog near a bowl,prompt_matched,a close-up photo of a dog near a bowl,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog_cluttered_scene_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_cluttered_scene_00/seed_0000.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},dog,a photo of a dog,a photo of a dog in a cluttered indoor room,prompt_matched,a photo of a dog in a cluttered indoor room,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog_cluttered_scene_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_cluttered_scene_00/seed_0001.png,base_generated_control,prompt_matched_generated,cluttered_scene,,,{},dog,a photo of a dog,a photo of a dog in a cluttered indoor room,prompt_matched,a photo of a dog in a cluttered indoor room,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog_background_heavy_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_background_heavy_00/seed_0000.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},dog,a photo of a dog,a photo of a dog looking out of a car window,prompt_matched,a photo of a dog looking out of a car window,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
dog,dog_background_heavy_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/dog/dog_background_heavy_00/seed_0001.png,base_generated_control,prompt_matched_generated,background_heavy,,,{},dog,a photo of a dog,a photo of a dog looking out of a car window,prompt_matched,a photo of a dog looking out of a car window,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat_matched_closeup_00_seed_0000,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_matched_closeup_00/seed_0000.png,base_generated_control,prompt_matched_generated,matched_closeup,,,{},cat,a photo of a cat,a close-up photo of a cat lying on a bed,prompt_matched,a close-up photo of a cat lying on a bed,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
cat,cat_matched_closeup_00_seed_0001,data/cache/off_prior_measurement_v0/generated_controls_stage15b_prompt_matched/cat/cat_matched_closeup_00/seed_0001.png,base_generated_control,prompt_matched_generated,matched_closeup,,,{},cat,a photo of a cat,a close-up photo of a cat lying on a bed,prompt_matched,a close-up photo of a cat lying on a bed,base_sd15_prompt_matched,generated locally from the ordinary-real prompt-matched description
