subject_id,image_id,image_path,source_group,reference_regime,hardness_axis,source_standard_image,variant_id,transform_parameters,class_name,class_prompt,class_context_prompt,conditioning_key,conditioning_prompt
dog,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/00.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,null,
dog,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/00.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,class,a photo of a dog
dog,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog/00.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog in a natural scene,class_context,a photo of a dog in a natural scene
cat,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/00.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,null,
cat,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/00.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,class,a photo of a cat
cat,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/cat/00.jpg,dreambooth_reference,standard_reference,none,,,{},cat,a photo of a cat,a photo of a cat indoors,class_context,a photo of a cat indoors
backpack,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,null,
backpack,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,dreambooth_reference,standard_reference,none,,,{},backpack,a photo of a backpack,a photo of a backpack on a table,class_context,a photo of a backpack on a table
vase,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/00.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,null,
vase,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/00.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class,a photo of a vase
vase,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/vase/00.jpg,dreambooth_reference,standard_reference,none,,,{},vase,a photo of a vase,a photo of a vase in a room,class_context,a photo of a vase in a room
colorful_sneaker,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/colorful_sneaker/00.jpg,dreambooth_reference,standard_reference,none,,,{},sneaker,a photo of a sneaker,a photo of a sneaker on the floor,null,
colorful_sneaker,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/colorful_sneaker/00.jpg,dreambooth_reference,standard_reference,none,,,{},sneaker,a photo of a sneaker,a photo of a sneaker on the floor,class,a photo of a sneaker
colorful_sneaker,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/colorful_sneaker/00.jpg,dreambooth_reference,standard_reference,none,,,{},sneaker,a photo of a sneaker,a photo of a sneaker on the floor,class_context,a photo of a sneaker on the floor
shiny_sneaker,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/shiny_sneaker/00.jpg,dreambooth_reference,standard_reference,none,,,{},sneaker,a photo of a sneaker,a photo of a sneaker on the floor,null,
shiny_sneaker,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/shiny_sneaker/00.jpg,dreambooth_reference,standard_reference,none,,,{},sneaker,a photo of a sneaker,a photo of a sneaker on the floor,class,a photo of a sneaker
shiny_sneaker,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/shiny_sneaker/00.jpg,dreambooth_reference,standard_reference,none,,,{},sneaker,a photo of a sneaker,a photo of a sneaker on the floor,class_context,a photo of a sneaker on the floor
fancy_boot,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/fancy_boot/00.jpg,dreambooth_reference,standard_reference,none,,,{},boot,a photo of a boot,a photo of a boot on the floor,null,
fancy_boot,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/fancy_boot/00.jpg,dreambooth_reference,standard_reference,none,,,{},boot,a photo of a boot,a photo of a boot on the floor,class,a photo of a boot
fancy_boot,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/fancy_boot/00.jpg,dreambooth_reference,standard_reference,none,,,{},boot,a photo of a boot,a photo of a boot on the floor,class_context,a photo of a boot on the floor
dog7,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog7/00.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog outdoors,null,
dog7,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog7/00.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog outdoors,class,a photo of a dog
dog7,00,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/dog7/00.jpg,dreambooth_reference,standard_reference,none,,,{},dog,a photo of a dog,a photo of a dog outdoors,class_context,a photo of a dog outdoors
backpack,00,data/cache/off_prior_measurement_v0/hard_references/backpack/00__background_clutter_overlay.png,dreambooth_hard_reference,hard_reference,clutter_background,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,background_clutter_overlay,"{""deterministic"": true, ""hardness_axis"": ""clutter_background"", ""variant_id"": ""background_clutter_overlay""}",backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,00,data/cache/off_prior_measurement_v0/hard_references/backpack/00__background_clutter_overlay.png,dreambooth_hard_reference,hard_reference,clutter_background,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,background_clutter_overlay,"{""deterministic"": true, ""hardness_axis"": ""clutter_background"", ""variant_id"": ""background_clutter_overlay""}",backpack,a photo of a backpack,a photo of a backpack on a table,class_context,a photo of a backpack on a table
backpack,00,data/cache/off_prior_measurement_v0/hard_references/backpack/00__background_clutter_overlay.png,dreambooth_hard_reference,hard_reference,clutter_background,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,background_clutter_overlay,"{""deterministic"": true, ""hardness_axis"": ""clutter_background"", ""variant_id"": ""background_clutter_overlay""}",backpack,a photo of a backpack,a photo of a backpack on a table,null,
backpack,00,data/cache/off_prior_measurement_v0/hard_references/backpack/00__crop_large_subject.png,dreambooth_hard_reference,hard_reference,crop,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,crop_large_subject,"{""deterministic"": true, ""hardness_axis"": ""crop"", ""variant_id"": ""crop_large_subject""}",backpack,a photo of a backpack,a photo of a backpack on a table,class,a photo of a backpack
backpack,00,data/cache/off_prior_measurement_v0/hard_references/backpack/00__crop_large_subject.png,dreambooth_hard_reference,hard_reference,crop,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,crop_large_subject,"{""deterministic"": true, ""hardness_axis"": ""crop"", ""variant_id"": ""crop_large_subject""}",backpack,a photo of a backpack,a photo of a backpack on a table,class_context,a photo of a backpack on a table
backpack,00,data/cache/off_prior_measurement_v0/hard_references/backpack/00__crop_large_subject.png,dreambooth_hard_reference,hard_reference,crop,data/cache/off_prior_measurement_v0/dreambooth_dataset/dataset/backpack/00.jpg,crop_large_subject,"{""deterministic"": true, ""hardness_axis"": ""crop"", ""variant_id"": ""crop_large_subject""}",backpack,a photo of a backpack,a photo of a backpack on a table,null,
