run,kind,text,prompt_index,image_index,seed,distance_to_base,distance_to_vanilla,image_path,base_image_path,vanilla_image_path
vanilla,subject,a photo of sks vase on a wooden table,0,0,0,38.467021,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png
vanilla,subject,a photo of sks vase on a wooden table,0,1,1,32.454880,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png
vanilla,subject,a photo of sks vase in a room,1,0,100,21.873039,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_00_seed100_a-photo-of-sks-vase-in-a-room.png
vanilla,subject,a photo of sks vase in a room,1,1,101,31.780154,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_01_01_seed101_a-photo-of-sks-vase-in-a-room.png
vanilla,class,a photo of a vase,2,0,200,48.453140,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_00_seed200_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_00_seed200_a-photo-of-a-vase.png
vanilla,class,a photo of a vase,2,1,201,26.795296,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/base/class_02_01_seed201_a-photo-of-a-vase.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_02_01_seed201_a-photo-of-a-vase.png
vanilla,class,a vase on a wooden table,3,0,300,24.382858,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_00_seed300_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_00_seed300_a-vase-on-a-wooden-table.png
vanilla,class,a vase on a wooden table,3,1,301,16.994137,0.000000,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/class_03_01_seed301_a-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/class_03_01_seed301_a-vase-on-a-wooden-table.png
dadt_lf_late_alpha075,subject,a photo of sks vase on a wooden table,0,0,0,39.162041,15.385918,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_00_seed0_a-photo-of-sks-vase-on-a-wooden-table.png
dadt_lf_late_alpha075,subject,a photo of sks vase on a wooden table,0,1,1,37.043856,21.708522,experiments/stage2b_strong_alignment/vase/eval/dadt_lf_late_alpha075/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/base/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png,experiments/stage2b_strong_alignment/vase/eval/vanilla/subject_00_01_seed1_a-photo-of-sks-vase-on-a-wooden-table.png
